Date,Open,High,Low,Close,Volume
10-Nov-15,4.16,4.20,4.12,4.16,263531
9-Nov-15,4.20,4.20,4.14,4.14,441994
6-Nov-15,4.28,4.30,4.19,4.20,1142863
5-Nov-15,4.41,4.44,4.38,4.39,329447
4-Nov-15,4.58,4.60,4.43,4.47,1133121
3-Nov-15,4.44,4.52,4.42,4.51,713785
2-Nov-15,4.20,4.27,4.20,4.26,1112363
30-Oct-15,4.21,4.24,4.18,4.18,314946
29-Oct-15,4.19,4.22,4.17,4.17,225087
28-Oct-15,4.20,4.33,4.17,4.26,1225241
27-Oct-15,4.19,4.23,4.15,4.19,400891
26-Oct-15,4.42,4.42,4.31,4.35,318612
23-Oct-15,4.42,4.44,4.40,4.44,211163
22-Oct-15,4.41,4.44,4.38,4.40,460982
21-Oct-15,4.39,4.42,4.36,4.37,380612
20-Oct-15,4.43,4.50,4.41,4.48,309970
19-Oct-15,4.44,4.49,4.42,4.46,175381
16-Oct-15,4.61,4.63,4.52,4.61,368185
15-Oct-15,4.56,4.65,4.54,4.65,163494
14-Oct-15,4.48,4.53,4.46,4.51,326652
13-Oct-15,4.40,4.50,4.38,4.40,181422
12-Oct-15,4.64,4.64,4.45,4.50,367774
9-Oct-15,4.66,4.70,4.58,4.60,621550
8-Oct-15,4.48,4.60,4.43,4.60,543454
7-Oct-15,4.43,4.47,4.38,4.44,1559351
6-Oct-15,4.22,4.32,4.21,4.32,568179
5-Oct-15,4.12,4.20,4.12,4.20,406314
2-Oct-15,3.90,3.98,3.89,3.97,684611
1-Oct-15,4.00,4.01,3.96,4.00,382445
30-Sep-15,4.05,4.06,4.00,4.06,385932
29-Sep-15,3.98,4.03,3.97,4.02,231913
28-Sep-15,3.95,3.97,3.90,3.91,417717
25-Sep-15,4.01,4.05,3.97,4.00,482266
24-Sep-15,3.93,3.98,3.89,3.96,394387
23-Sep-15,4.01,4.07,3.98,4.00,310343
22-Sep-15,4.08,4.09,4.01,4.07,674759
21-Sep-15,4.18,4.19,4.13,4.17,2127602
18-Sep-15,4.20,4.25,4.15,4.16,3071555
17-Sep-15,4.28,4.40,4.25,4.32,478877
16-Sep-15,4.28,4.35,4.27,4.33,468007
15-Sep-15,4.18,4.24,4.18,4.24,1751667
14-Sep-15,4.17,4.22,4.15,4.19,470284
11-Sep-15,4.10,4.19,4.10,4.16,181720
10-Sep-15,4.17,4.21,4.12,4.21,645917
9-Sep-15,4.22,4.24,4.11,4.12,343619
8-Sep-15,4.15,4.20,4.11,4.20,450038
4-Sep-15,4.18,4.20,4.10,4.12,318871
